Answer set size: 6655
GraphId: 3515 Similarity: 209.0
GraphId: 807 Similarity: 209.0
GraphId: 1723 Similarity: 208.0
GraphId: 1433 Similarity: 209.0
GraphId: 605 Similarity: 208.0
GraphId: 1420 Similarity: 207.0
GraphId: 1456 Similarity: 207.0
GraphId: 1465 Similarity: 207.0
GraphId: 227 Similarity: 211.0
GraphId: 331 Similarity: 211.0
GraphId: 502 Similarity: 211.0
GraphId: 1892 Similarity: 206.0
GraphId: 1925 Similarity: 206.0
GraphId: 595 Similarity: 210.0
GraphId: 2610 Similarity: 210.0
GraphId: 472 Similarity: 210.0
GraphId: 509 Similarity: 209.0
GraphId: 429 Similarity: 208.0
GraphId: 500 Similarity: 208.0
GraphId: 1212 Similarity: 206.0
GraphId: 1365 Similarity: 207.0
GraphId: 1400 Similarity: 207.0
GraphId: 710 Similarity: 210.0
GraphId: 1417 Similarity: 206.0
GraphId: 1017 Similarity: 210.0
GraphId: 2439 Similarity: 210.0
GraphId: 499 Similarity: 209.0
GraphId: 2614 Similarity: 211.0
GraphId: 1540 Similarity: 208.0
GraphId: 1804 Similarity: 208.0
GraphId: 1265 Similarity: 206.0
GraphId: 1301 Similarity: 206.0
GraphId: 523 Similarity: 210.0
GraphId: 774 Similarity: 210.0
GraphId: 2061 Similarity: 204.0
GraphId: 182 Similarity: 204.0
GraphId: 2620 Similarity: 204.0
GraphId: 6982 Similarity: 212.0
GraphId: 2939 Similarity: 204.0
GraphId: 955 Similarity: 210.0
GraphId: 1004 Similarity: 208.0
GraphId: 876 Similarity: 210.0
GraphId: 908 Similarity: 207.0
GraphId: 805 Similarity: 205.0
GraphId: 2741 Similarity: 204.0
GraphId: 819 Similarity: 210.0
GraphId: 866 Similarity: 203.0
GraphId: 2145 Similarity: 203.0
GraphId: 2697 Similarity: 203.0
GraphId: 2778 Similarity: 202.0
GraphId: 2977 Similarity: 202.0
GraphId: 3009 Similarity: 202.0
GraphId: 823 Similarity: 202.0
GraphId: 1995 Similarity: 202.0
GraphId: 2477 Similarity: 202.0
GraphId: 115 Similarity: 202.0
GraphId: 3276 Similarity: 201.0
GraphId: 3305 Similarity: 201.0
GraphId: 4420 Similarity: 201.0
GraphId: 1388 Similarity: 201.0
GraphId: 4092 Similarity: 201.0
GraphId: 3427 Similarity: 201.0
GraphId: 1439 Similarity: 201.0
GraphId: 570 Similarity: 201.0
GraphId: 85 Similarity: 210.0
GraphId: 16 Similarity: 209.0
GraphId: 20 Similarity: 201.0
GraphId: 253 Similarity: 213.0
GraphId: 256 Similarity: 212.0
GraphId: 249 Similarity: 209.0
GraphId: 333 Similarity: 210.0
GraphId: 352 Similarity: 210.0
GraphId: 1557 Similarity: 201.0
GraphId: 4100 Similarity: 200.0
GraphId: 3769 Similarity: 200.0
GraphId: 148 Similarity: 200.0
GraphId: 530 Similarity: 200.0
GraphId: 1324 Similarity: 200.0
GraphId: 3665 Similarity: 200.0
GraphId: 4133 Similarity: 199.0
GraphId: 1730 Similarity: 199.0
GraphId: 2049 Similarity: 199.0
GraphId: 4729 Similarity: 199.0
GraphId: 5396 Similarity: 199.0
GraphId: 25 Similarity: 199.0
GraphId: 3889 Similarity: 199.0
GraphId: 610 Similarity: 199.0
GraphId: 1929 Similarity: 198.0
GraphId: 5120 Similarity: 198.0
GraphId: 6477 Similarity: 198.0
GraphId: 4424 Similarity: 198.0
GraphId: 4685 Similarity: 198.0
GraphId: 469 Similarity: 198.0
GraphId: 2161 Similarity: 198.0
GraphId: 210 Similarity: 198.0
GraphId: 1744 Similarity: 198.0
GraphId: 98 Similarity: 197.0
GraphId: 3157 Similarity: 197.0
GraphId: 872 Similarity: 197.0
GraphId: 1112 Similarity: 197.0
GraphId: 145 Similarity: 197.0
GraphId: 5756 Similarity: 197.0
GraphId: 793 Similarity: 208.0
GraphId: 1436 Similarity: 197.0
GraphId: 5236 Similarity: 196.0
GraphId: 5192 Similarity: 196.0
GraphId: 473 Similarity: 196.0
GraphId: 312 Similarity: 196.0
GraphId: 446 Similarity: 196.0
GraphId: 5681 Similarity: 196.0
GraphId: 311 Similarity: 196.0
GraphId: 1429 Similarity: 196.0
GraphId: 1981 Similarity: 195.0
GraphId: 2152 Similarity: 195.0
GraphId: 228 Similarity: 195.0
GraphId: 5688 Similarity: 195.0
GraphId: 540 Similarity: 195.0
GraphId: 2665 Similarity: 195.0
GraphId: 6500 Similarity: 194.0
GraphId: 984 Similarity: 194.0
GraphId: 6744 Similarity: 194.0
GraphId: 6137 Similarity: 194.0
GraphId: 224 Similarity: 194.0
GraphId: 6084 Similarity: 194.0
GraphId: 6572 Similarity: 194.0
GraphId: 859 Similarity: 194.0
GraphId: 4297 Similarity: 193.0
GraphId: 2791 Similarity: 193.0
GraphId: 6432 Similarity: 193.0
GraphId: 2769 Similarity: 193.0
GraphId: 1289 Similarity: 193.0
GraphId: 940 Similarity: 192.0
GraphId: 3897 Similarity: 192.0
GraphId: 537 Similarity: 192.0
GraphId: 2933 Similarity: 203.0
GraphId: 2929 Similarity: 202.0
GraphId: 7701 Similarity: 191.0
GraphId: 2458 Similarity: 191.0
GraphId: 417 Similarity: 191.0
GraphId: 7901 Similarity: 191.0
GraphId: 165 Similarity: 191.0
GraphId: 3912 Similarity: 191.0
GraphId: 158 Similarity: 191.0
GraphId: 1320 Similarity: 191.0
GraphId: 1343 Similarity: 190.0
GraphId: 4253 Similarity: 190.0
GraphId: 2073 Similarity: 190.0
GraphId: 2089 Similarity: 190.0
GraphId: 1321 Similarity: 190.0
GraphId: 2997 Similarity: 190.0
GraphId: 588 Similarity: 190.0
GraphId: 2361 Similarity: 190.0
GraphId: 2565 Similarity: 190.0
GraphId: 2788 Similarity: 190.0
GraphId: 8060 Similarity: 189.0
GraphId: 3338 Similarity: 189.0
GraphId: 6769 Similarity: 189.0
GraphId: 2192 Similarity: 189.0
GraphId: 96 Similarity: 189.0
GraphId: 156 Similarity: 189.0
GraphId: 289 Similarity: 189.0
GraphId: 8192 Similarity: 189.0
GraphId: 375 Similarity: 188.0
GraphId: 4257 Similarity: 188.0
GraphId: 2317 Similarity: 188.0
GraphId: 4355 Similarity: 188.0
GraphId: 4829 Similarity: 188.0
GraphId: 4912 Similarity: 188.0
GraphId: 5325 Similarity: 188.0
GraphId: 5409 Similarity: 188.0
GraphId: 481 Similarity: 188.0
GraphId: 9269 Similarity: 188.0
GraphId: 299 Similarity: 188.0
GraphId: 5856 Similarity: 188.0
GraphId: 9581 Similarity: 187.0
GraphId: 3457 Similarity: 187.0
GraphId: 932 Similarity: 187.0
GraphId: 9345 Similarity: 187.0
GraphId: 657 Similarity: 187.0
GraphId: 53 Similarity: 187.0
GraphId: 2900 Similarity: 187.0
GraphId: 1526 Similarity: 187.0
GraphId: 1505 Similarity: 187.0
GraphId: 8757 Similarity: 187.0
GraphId: 1918 Similarity: 186.0
GraphId: 3041 Similarity: 186.0
GraphId: 294 Similarity: 186.0
GraphId: 3792 Similarity: 186.0
GraphId: 1472 Similarity: 186.0
GraphId: 3613 Similarity: 186.0
GraphId: 1941 Similarity: 185.0
GraphId: 6876 Similarity: 185.0
GraphId: 1165 Similarity: 185.0
GraphId: 1336 Similarity: 185.0
GraphId: 1376 Similarity: 185.0
GraphId: 260 Similarity: 185.0
GraphId: 591 Similarity: 185.0
GraphId: 761 Similarity: 185.0
GraphId: 2368 Similarity: 185.0
GraphId: 2982 Similarity: 185.0
GraphId: 1371 Similarity: 185.0
GraphId: 1058 Similarity: 185.0
GraphId: 7461 Similarity: 184.0
GraphId: 3261 Similarity: 184.0
GraphId: 7912 Similarity: 184.0
GraphId: 864 Similarity: 184.0
GraphId: 2398 Similarity: 184.0
GraphId: 385 Similarity: 184.0
GraphId: 2868 Similarity: 184.0
GraphId: 5704 Similarity: 184.0
GraphId: 8816 Similarity: 184.0
GraphId: 746 Similarity: 184.0
GraphId: 5128 Similarity: 183.0
GraphId: 3197 Similarity: 183.0
GraphId: 3128 Similarity: 183.0
GraphId: 957 Similarity: 183.0
GraphId: 74 Similarity: 183.0
GraphId: 4005 Similarity: 183.0
GraphId: 596 Similarity: 183.0
GraphId: 6265 Similarity: 183.0
GraphId: 6348 Similarity: 183.0
GraphId: 2722 Similarity: 183.0
GraphId: 498 Similarity: 183.0
GraphId: 766 Similarity: 183.0
GraphId: 1074 Similarity: 182.0
GraphId: 3268 Similarity: 182.0
GraphId: 7516 Similarity: 182.0
GraphId: 7584 Similarity: 182.0
GraphId: 3049 Similarity: 182.0
GraphId: 336 Similarity: 182.0
GraphId: 6344 Similarity: 182.0
GraphId: 2509 Similarity: 182.0
GraphId: 1657 Similarity: 205.0
GraphId: 1676 Similarity: 205.0
GraphId: 1712 Similarity: 205.0
GraphId: 1645 Similarity: 193.0
GraphId: 7148 Similarity: 182.0
GraphId: 1652 Similarity: 182.0
GraphId: 2837 Similarity: 182.0
GraphId: 2669 Similarity: 182.0
GraphId: 11409 Similarity: 181.0
GraphId: 7553 Similarity: 181.0
GraphId: 3320 Similarity: 181.0
GraphId: 1174 Similarity: 181.0
GraphId: 976 Similarity: 181.0
GraphId: 5388 Similarity: 181.0
GraphId: 1016 Similarity: 181.0
GraphId: 244 Similarity: 181.0
GraphId: 381 Similarity: 181.0
GraphId: 797 Similarity: 181.0
GraphId: 3249 Similarity: 181.0
GraphId: 458 Similarity: 181.0
GraphId: 6412 Similarity: 181.0
GraphId: 10969 Similarity: 181.0
GraphId: 9701 Similarity: 181.0
GraphId: 5512 Similarity: 181.0
GraphId: 6 Similarity: 181.0
GraphId: 5780 Similarity: 181.0
GraphId: 7180 Similarity: 181.0
GraphId: 1268 Similarity: 181.0
GraphId: 5124 Similarity: 180.0
GraphId: 5280 Similarity: 180.0
GraphId: 7449 Similarity: 180.0
GraphId: 3180 Similarity: 180.0
GraphId: 3173 Similarity: 180.0
GraphId: 2056 Similarity: 180.0
GraphId: 448 Similarity: 180.0
GraphId: 620 Similarity: 180.0
GraphId: 637 Similarity: 180.0
GraphId: 6188 Similarity: 180.0
GraphId: 11260 Similarity: 180.0
GraphId: 72 Similarity: 180.0
GraphId: 73 Similarity: 180.0
GraphId: 1681 Similarity: 180.0
GraphId: 8328 Similarity: 180.0
GraphId: 1592 Similarity: 180.0
GraphId: 818 Similarity: 179.0
GraphId: 3461 Similarity: 179.0
GraphId: 3508 Similarity: 179.0
GraphId: 2092 Similarity: 179.0
GraphId: 4497 Similarity: 179.0
GraphId: 4692 Similarity: 179.0
GraphId: 280 Similarity: 179.0
GraphId: 529 Similarity: 179.0
GraphId: 1672 Similarity: 179.0
GraphId: 7260 Similarity: 179.0
GraphId: 7072 Similarity: 179.0
GraphId: 4333 Similarity: 178.0
GraphId: 5880 Similarity: 178.0
GraphId: 3080 Similarity: 178.0
GraphId: 3165 Similarity: 178.0
GraphId: 3436 Similarity: 178.0
GraphId: 1169 Similarity: 178.0
GraphId: 2342 Similarity: 178.0
GraphId: 6096 Similarity: 178.0
GraphId: 176 Similarity: 178.0
GraphId: 404 Similarity: 178.0
GraphId: 541 Similarity: 178.0
GraphId: 565 Similarity: 178.0
GraphId: 9928 Similarity: 178.0
GraphId: 5013 Similarity: 178.0
GraphId: 2203 Similarity: 178.0
GraphId: 1252 Similarity: 178.0
GraphId: 3616 Similarity: 178.0
GraphId: 554 Similarity: 177.0
GraphId: 1591 Similarity: 177.0
GraphId: 4628 Similarity: 177.0
GraphId: 1038 Similarity: 177.0
GraphId: 1092 Similarity: 177.0
GraphId: 1070 Similarity: 177.0
GraphId: 3828 Similarity: 177.0
GraphId: 2964 Similarity: 177.0
GraphId: 8469 Similarity: 177.0
GraphId: 6316 Similarity: 177.0
GraphId: 9089 Similarity: 177.0
GraphId: 11584 Similarity: 177.0
GraphId: 762 Similarity: 177.0
GraphId: 1957 Similarity: 176.0
GraphId: 3145 Similarity: 176.0
GraphId: 4920 Similarity: 176.0
GraphId: 1172 Similarity: 176.0
GraphId: 1726 Similarity: 176.0
GraphId: 1357 Similarity: 176.0
GraphId: 397 Similarity: 176.0
GraphId: 10797 Similarity: 176.0
GraphId: 1170 Similarity: 176.0
GraphId: 9768 Similarity: 176.0
GraphId: 2821 Similarity: 176.0
GraphId: 1256 Similarity: 176.0
GraphId: 3204 Similarity: 175.0
GraphId: 8077 Similarity: 175.0
GraphId: 4741 Similarity: 175.0
GraphId: 4860 Similarity: 175.0
GraphId: 639 Similarity: 175.0
GraphId: 1446 Similarity: 175.0
GraphId: 11415 Similarity: 175.0
GraphId: 2118 Similarity: 175.0
GraphId: 739 Similarity: 175.0
GraphId: 8854 Similarity: 175.0
GraphId: 365 Similarity: 175.0
GraphId: 409 Similarity: 175.0
GraphId: 3402 Similarity: 175.0
GraphId: 3948 Similarity: 175.0
GraphId: 1628 Similarity: 175.0
GraphId: 601 Similarity: 175.0
GraphId: 2790 Similarity: 175.0
GraphId: 9497 Similarity: 175.0
GraphId: 1437 Similarity: 175.0
GraphId: 11035 Similarity: 175.0
GraphId: 3166 Similarity: 175.0
GraphId: 1928 Similarity: 174.0
GraphId: 10588 Similarity: 174.0
GraphId: 911 Similarity: 174.0
GraphId: 5896 Similarity: 174.0
GraphId: 985 Similarity: 174.0
GraphId: 889 Similarity: 174.0
GraphId: 461 Similarity: 174.0
GraphId: 708 Similarity: 174.0
GraphId: 1570 Similarity: 174.0
GraphId: 787 Similarity: 174.0
GraphId: 127 Similarity: 174.0
GraphId: 3600 Similarity: 174.0
GraphId: 4598 Similarity: 174.0
GraphId: 6405 Similarity: 174.0
GraphId: 534 Similarity: 174.0
GraphId: 8369 Similarity: 174.0
GraphId: 8705 Similarity: 174.0
GraphId: 2660 Similarity: 174.0
GraphId: 1992 Similarity: 173.0
GraphId: 231 Similarity: 173.0
GraphId: 3168 Similarity: 173.0
GraphId: 2076 Similarity: 173.0
GraphId: 2100 Similarity: 173.0
GraphId: 977 Similarity: 173.0
GraphId: 3357 Similarity: 173.0
GraphId: 1143 Similarity: 173.0
GraphId: 2047 Similarity: 173.0
GraphId: 1397 Similarity: 173.0
GraphId: 2231 Similarity: 173.0
GraphId: 10770 Similarity: 173.0
GraphId: 763 Similarity: 173.0
GraphId: 164 Similarity: 173.0
GraphId: 372 Similarity: 173.0
GraphId: 716 Similarity: 173.0
GraphId: 3928 Similarity: 173.0
GraphId: 2932 Similarity: 173.0
GraphId: 556 Similarity: 173.0
GraphId: 326 Similarity: 173.0
GraphId: 5721 Similarity: 173.0
GraphId: 2352 Similarity: 173.0
GraphId: 6775 Similarity: 173.0
GraphId: 1127 Similarity: 173.0
GraphId: 2663 Similarity: 173.0
GraphId: 1560 Similarity: 173.0
GraphId: 1580 Similarity: 173.0
GraphId: 4156 Similarity: 172.0
GraphId: 4198 Similarity: 172.0
GraphId: 1989 Similarity: 172.0
GraphId: 4518 Similarity: 172.0
GraphId: 626 Similarity: 172.0
GraphId: 4244 Similarity: 172.0
GraphId: 3715 Similarity: 172.0
GraphId: 5927 Similarity: 172.0
GraphId: 3356 Similarity: 172.0
