Answer set size: 178
GraphId: 69 Similarity: 181.0
GraphId: 108 Similarity: 179.0
GraphId: 223 Similarity: 177.0
GraphId: 272 Similarity: 177.0
GraphId: 73 Similarity: 177.0
GraphId: 5 Similarity: 176.0
GraphId: 176 Similarity: 176.0
GraphId: 112 Similarity: 175.0
GraphId: 152 Similarity: 174.0
GraphId: 185 Similarity: 174.0
GraphId: 156 Similarity: 173.0
GraphId: 144 Similarity: 173.0
GraphId: 120 Similarity: 173.0
GraphId: 252 Similarity: 173.0
GraphId: 264 Similarity: 172.0
GraphId: 125 Similarity: 172.0
GraphId: 41 Similarity: 172.0
GraphId: 148 Similarity: 172.0
GraphId: 160 Similarity: 172.0
GraphId: 216 Similarity: 172.0
GraphId: 98 Similarity: 172.0
GraphId: 92 Similarity: 172.0
GraphId: 55 Similarity: 172.0
GraphId: 249 Similarity: 172.0
GraphId: 253 Similarity: 172.0
GraphId: 260 Similarity: 171.0
GraphId: 85 Similarity: 171.0
GraphId: 28 Similarity: 169.0
GraphId: 197 Similarity: 169.0
GraphId: 113 Similarity: 169.0
GraphId: 31 Similarity: 169.0
GraphId: 9 Similarity: 168.0
GraphId: 173 Similarity: 168.0
GraphId: 177 Similarity: 168.0
GraphId: 180 Similarity: 168.0
GraphId: 109 Similarity: 168.0
GraphId: 190 Similarity: 168.0
GraphId: 153 Similarity: 167.0
GraphId: 165 Similarity: 167.0
GraphId: 217 Similarity: 167.0
GraphId: 169 Similarity: 167.0
GraphId: 56 Similarity: 167.0
GraphId: 64 Similarity: 167.0
GraphId: 87 Similarity: 167.0
GraphId: 96 Similarity: 167.0
GraphId: 93 Similarity: 167.0
GraphId: 46 Similarity: 167.0
GraphId: 40 Similarity: 166.0
GraphId: 122 Similarity: 166.0
GraphId: 8 Similarity: 166.0
GraphId: 137 Similarity: 166.0
GraphId: 220 Similarity: 166.0
GraphId: 16 Similarity: 166.0
GraphId: 23 Similarity: 166.0
GraphId: 65 Similarity: 166.0
GraphId: 7 Similarity: 166.0
GraphId: 42 Similarity: 166.0
GraphId: 172 Similarity: 166.0
GraphId: 76 Similarity: 166.0
GraphId: 184 Similarity: 166.0
GraphId: 25 Similarity: 166.0
GraphId: 1 Similarity: 166.0
GraphId: 43 Similarity: 166.0
GraphId: 133 Similarity: 165.0
GraphId: 157 Similarity: 165.0
GraphId: 164 Similarity: 165.0
GraphId: 229 Similarity: 165.0
GraphId: 68 Similarity: 165.0
GraphId: 45 Similarity: 165.0
GraphId: 193 Similarity: 165.0
GraphId: 276 Similarity: 164.0
GraphId: 128 Similarity: 164.0
GraphId: 237 Similarity: 164.0
GraphId: 196 Similarity: 164.0
GraphId: 166 Similarity: 164.0
GraphId: 126 Similarity: 163.0
GraphId: 149 Similarity: 163.0
GraphId: 213 Similarity: 163.0
GraphId: 228 Similarity: 163.0
GraphId: 162 Similarity: 163.0
GraphId: 72 Similarity: 163.0
GraphId: 97 Similarity: 163.0
GraphId: 24 Similarity: 163.0
GraphId: 251 Similarity: 163.0
GraphId: 129 Similarity: 162.0
GraphId: 44 Similarity: 162.0
GraphId: 53 Similarity: 162.0
GraphId: 240 Similarity: 162.0
GraphId: 154 Similarity: 162.0
GraphId: 105 Similarity: 162.0
GraphId: 26 Similarity: 162.0
GraphId: 34 Similarity: 162.0
GraphId: 89 Similarity: 162.0
GraphId: 32 Similarity: 162.0
GraphId: 206 Similarity: 162.0
GraphId: 221 Similarity: 161.0
GraphId: 12 Similarity: 161.0
GraphId: 123 Similarity: 161.0
GraphId: 20 Similarity: 161.0
GraphId: 74 Similarity: 161.0
GraphId: 188 Similarity: 161.0
GraphId: 189 Similarity: 161.0
GraphId: 80 Similarity: 161.0
GraphId: 141 Similarity: 161.0
GraphId: 18 Similarity: 161.0
GraphId: 14 Similarity: 161.0
GraphId: 204 Similarity: 161.0
GraphId: 265 Similarity: 160.0
GraphId: 232 Similarity: 160.0
GraphId: 241 Similarity: 160.0
GraphId: 3 Similarity: 160.0
GraphId: 61 Similarity: 160.0
GraphId: 30 Similarity: 160.0
GraphId: 19 Similarity: 160.0
GraphId: 200 Similarity: 160.0
GraphId: 84 Similarity: 160.0
GraphId: 208 Similarity: 160.0
GraphId: 117 Similarity: 160.0
GraphId: 245 Similarity: 160.0
GraphId: 256 Similarity: 160.0
GraphId: 132 Similarity: 159.0
GraphId: 13 Similarity: 159.0
GraphId: 57 Similarity: 159.0
GraphId: 21 Similarity: 159.0
GraphId: 59 Similarity: 159.0
GraphId: 124 Similarity: 158.0
GraphId: 49 Similarity: 158.0
GraphId: 277 Similarity: 158.0
GraphId: 101 Similarity: 158.0
GraphId: 39 Similarity: 158.0
GraphId: 15 Similarity: 158.0
GraphId: 205 Similarity: 158.0
GraphId: 244 Similarity: 158.0
GraphId: 121 Similarity: 158.0
GraphId: 47 Similarity: 158.0
GraphId: 261 Similarity: 157.0
GraphId: 48 Similarity: 157.0
GraphId: 224 Similarity: 157.0
GraphId: 107 Similarity: 157.0
GraphId: 17 Similarity: 157.0
GraphId: 6 Similarity: 157.0
GraphId: 63 Similarity: 157.0
GraphId: 254 Similarity: 157.0
GraphId: 181 Similarity: 157.0
GraphId: 10 Similarity: 157.0
GraphId: 134 Similarity: 156.0
GraphId: 136 Similarity: 156.0
GraphId: 212 Similarity: 156.0
GraphId: 225 Similarity: 156.0
GraphId: 233 Similarity: 156.0
GraphId: 38 Similarity: 156.0
GraphId: 114 Similarity: 156.0
GraphId: 140 Similarity: 156.0
GraphId: 77 Similarity: 156.0
GraphId: 29 Similarity: 156.0
GraphId: 257 Similarity: 156.0
GraphId: 269 Similarity: 155.0
GraphId: 37 Similarity: 155.0
GraphId: 52 Similarity: 155.0
GraphId: 236 Similarity: 155.0
GraphId: 273 Similarity: 154.0
GraphId: 60 Similarity: 154.0
GraphId: 116 Similarity: 154.0
GraphId: 22 Similarity: 154.0
GraphId: 88 Similarity: 154.0
GraphId: 70 Similarity: 154.0
GraphId: 62 Similarity: 153.0
GraphId: 192 Similarity: 153.0
GraphId: 78 Similarity: 153.0
GraphId: 33 Similarity: 152.0
GraphId: 151 Similarity: 152.0
GraphId: 58 Similarity: 152.0
GraphId: 171 Similarity: 152.0
GraphId: 36 Similarity: 152.0
GraphId: 161 Similarity: 151.0
GraphId: 209 Similarity: 151.0
GraphId: 4 Similarity: 151.0
GraphId: 81 Similarity: 151.0
