Answer set size: 187
GraphId: 6 Similarity: 201.0
GraphId: 11 Similarity: 201.0
GraphId: 119 Similarity: 201.0
GraphId: 7 Similarity: 201.0
GraphId: 15 Similarity: 201.0
GraphId: 22 Similarity: 201.0
GraphId: 26 Similarity: 201.0
GraphId: 47 Similarity: 201.0
GraphId: 83 Similarity: 201.0
GraphId: 90 Similarity: 201.0
GraphId: 107 Similarity: 201.0
GraphId: 131 Similarity: 201.0
GraphId: 0 Similarity: 199.0
GraphId: 1 Similarity: 199.0
GraphId: 5 Similarity: 199.0
GraphId: 4 Similarity: 199.0
GraphId: 8 Similarity: 199.0
GraphId: 9 Similarity: 199.0
GraphId: 12 Similarity: 199.0
GraphId: 13 Similarity: 199.0
GraphId: 16 Similarity: 199.0
GraphId: 17 Similarity: 199.0
GraphId: 37 Similarity: 198.0
GraphId: 20 Similarity: 198.0
GraphId: 21 Similarity: 198.0
GraphId: 25 Similarity: 198.0
GraphId: 24 Similarity: 198.0
GraphId: 28 Similarity: 198.0
GraphId: 29 Similarity: 198.0
GraphId: 32 Similarity: 198.0
GraphId: 33 Similarity: 198.0
GraphId: 36 Similarity: 198.0
GraphId: 48 Similarity: 197.0
GraphId: 49 Similarity: 197.0
GraphId: 45 Similarity: 197.0
GraphId: 52 Similarity: 197.0
GraphId: 53 Similarity: 197.0
GraphId: 10 Similarity: 201.0
GraphId: 55 Similarity: 201.0
GraphId: 56 Similarity: 197.0
GraphId: 57 Similarity: 197.0
GraphId: 41 Similarity: 197.0
GraphId: 44 Similarity: 197.0
GraphId: 40 Similarity: 197.0
GraphId: 77 Similarity: 196.0
GraphId: 73 Similarity: 196.0
GraphId: 60 Similarity: 196.0
GraphId: 61 Similarity: 196.0
GraphId: 64 Similarity: 196.0
GraphId: 65 Similarity: 196.0
GraphId: 68 Similarity: 196.0
GraphId: 69 Similarity: 196.0
GraphId: 72 Similarity: 196.0
GraphId: 76 Similarity: 196.0
GraphId: 92 Similarity: 195.0
GraphId: 89 Similarity: 195.0
GraphId: 93 Similarity: 195.0
GraphId: 80 Similarity: 195.0
GraphId: 96 Similarity: 195.0
GraphId: 88 Similarity: 195.0
GraphId: 97 Similarity: 195.0
GraphId: 81 Similarity: 195.0
GraphId: 84 Similarity: 195.0
GraphId: 85 Similarity: 195.0
GraphId: 113 Similarity: 194.0
GraphId: 100 Similarity: 194.0
GraphId: 116 Similarity: 194.0
GraphId: 117 Similarity: 194.0
GraphId: 101 Similarity: 194.0
GraphId: 104 Similarity: 194.0
GraphId: 105 Similarity: 194.0
GraphId: 108 Similarity: 194.0
GraphId: 109 Similarity: 194.0
GraphId: 112 Similarity: 194.0
GraphId: 54 Similarity: 201.0
GraphId: 136 Similarity: 193.0
GraphId: 124 Similarity: 193.0
GraphId: 125 Similarity: 193.0
GraphId: 128 Similarity: 193.0
GraphId: 129 Similarity: 193.0
GraphId: 132 Similarity: 193.0
GraphId: 133 Similarity: 193.0
GraphId: 120 Similarity: 193.0
GraphId: 137 Similarity: 193.0
GraphId: 140 Similarity: 192.0
GraphId: 141 Similarity: 192.0
GraphId: 144 Similarity: 192.0
GraphId: 145 Similarity: 192.0
GraphId: 148 Similarity: 192.0
GraphId: 203 Similarity: 192.0
GraphId: 150 Similarity: 192.0
GraphId: 79 Similarity: 192.0
GraphId: 102 Similarity: 191.0
GraphId: 207 Similarity: 191.0
GraphId: 180 Similarity: 190.0
GraphId: 181 Similarity: 190.0
GraphId: 184 Similarity: 190.0
GraphId: 185 Similarity: 190.0
GraphId: 188 Similarity: 190.0
GraphId: 192 Similarity: 190.0
GraphId: 193 Similarity: 190.0
GraphId: 196 Similarity: 190.0
GraphId: 197 Similarity: 190.0
GraphId: 217 Similarity: 189.0
GraphId: 34 Similarity: 189.0
GraphId: 205 Similarity: 189.0
GraphId: 208 Similarity: 189.0
GraphId: 200 Similarity: 189.0
GraphId: 201 Similarity: 189.0
GraphId: 204 Similarity: 189.0
GraphId: 212 Similarity: 189.0
GraphId: 213 Similarity: 189.0
GraphId: 216 Similarity: 189.0
GraphId: 228 Similarity: 188.0
GraphId: 220 Similarity: 188.0
GraphId: 229 Similarity: 188.0
GraphId: 225 Similarity: 188.0
GraphId: 236 Similarity: 188.0
GraphId: 237 Similarity: 188.0
GraphId: 224 Similarity: 188.0
GraphId: 221 Similarity: 188.0
GraphId: 232 Similarity: 188.0
GraphId: 233 Similarity: 188.0
GraphId: 31 Similarity: 187.0
GraphId: 245 Similarity: 187.0
GraphId: 187 Similarity: 187.0
GraphId: 240 Similarity: 187.0
GraphId: 38 Similarity: 187.0
GraphId: 244 Similarity: 187.0
GraphId: 249 Similarity: 187.0
GraphId: 252 Similarity: 187.0
GraphId: 253 Similarity: 187.0
GraphId: 256 Similarity: 187.0
GraphId: 19 Similarity: 187.0
GraphId: 23 Similarity: 187.0
GraphId: 63 Similarity: 187.0
GraphId: 78 Similarity: 187.0
GraphId: 241 Similarity: 187.0
GraphId: 14 Similarity: 187.0
GraphId: 261 Similarity: 186.0
GraphId: 264 Similarity: 186.0
GraphId: 277 Similarity: 186.0
GraphId: 265 Similarity: 186.0
GraphId: 269 Similarity: 186.0
GraphId: 273 Similarity: 186.0
GraphId: 268 Similarity: 186.0
GraphId: 272 Similarity: 186.0
GraphId: 276 Similarity: 186.0
GraphId: 58 Similarity: 185.0
GraphId: 18 Similarity: 183.0
GraphId: 2 Similarity: 182.0
GraphId: 87 Similarity: 182.0
GraphId: 66 Similarity: 180.0
GraphId: 50 Similarity: 179.0
GraphId: 248 Similarity: 177.0
GraphId: 135 Similarity: 174.0
GraphId: 39 Similarity: 172.0
GraphId: 179 Similarity: 170.0
GraphId: 98 Similarity: 169.0
GraphId: 138 Similarity: 169.0
GraphId: 257 Similarity: 167.0
GraphId: 42 Similarity: 167.0
GraphId: 67 Similarity: 166.0
GraphId: 121 Similarity: 163.0
GraphId: 103 Similarity: 163.0
GraphId: 209 Similarity: 162.0
GraphId: 43 Similarity: 160.0
GraphId: 149 Similarity: 192.0
GraphId: 152 Similarity: 192.0
GraphId: 153 Similarity: 192.0
GraphId: 156 Similarity: 192.0
GraphId: 157 Similarity: 192.0
GraphId: 176 Similarity: 191.0
GraphId: 160 Similarity: 191.0
GraphId: 164 Similarity: 191.0
GraphId: 168 Similarity: 191.0
GraphId: 172 Similarity: 191.0
GraphId: 173 Similarity: 191.0
GraphId: 177 Similarity: 191.0
GraphId: 161 Similarity: 176.0
GraphId: 169 Similarity: 167.0
GraphId: 146 Similarity: 158.0
GraphId: 263 Similarity: 154.0
GraphId: 27 Similarity: 154.0
GraphId: 3 Similarity: 151.0
GraphId: 143 Similarity: 150.0
GraphId: 165 Similarity: 150.0
